x,s,v,rho_over_rho0
1.859302268810167851e-06,6.609687829399447405e-06,-4.733215801507092202e+00,9.999999999957307484e-01
1.873577835063726637e-06,6.660436455970972927e-06,-4.733215801506982068e+00,9.999999999956507013e-01
1.887963007912880576e-06,6.711574726223927820e-06,-4.733215801506871045e+00,9.999999999955690999e-01
1.902458628907837475e-06,6.763105631809677400e-06,-4.733215801506757359e+00,9.999999999954863883e-01
1.917065546060159658e-06,6.815032187349240100e-06,-4.733215801506642784e+00,9.999999999954024554e-01
1.931784613892368542e-06,6.867357430609634646e-06,-4.733215801506526432e+00,9.999999999953171903e-01
1.946616693487947747e-06,6.920084422681633311e-06,-4.733215801506407416e+00,9.999999999952300378e-01
1.961562652541695816e-06,6.973216248158769620e-06,-4.733215801506286624e+00,9.999999999951418861e-01
1.976623365410503723e-06,7.026756015317839380e-06,-4.733215801506164055e+00,9.999999999950526242e-01
1.991799713164499992e-06,7.080706856300721383e-06,-4.733215801506039710e+00,9.999999999949613638e-01
2.007092583638591805e-06,7.135071927297606728e-06,-4.733215801505912701e+00,9.999999999948691043e-01
2.022502871484420310e-06,7.189854408731690961e-06,-4.733215801505784803e+00,9.999999999947752904e-01
2.038031478222673799e-06,7.245057505445146097e-06,-4.733215801505655129e+00,9.999999999946801443e-01
2.053679312295845999e-06,7.300684446886669800e-06,-4.733215801505521902e+00,9.999999999945828888e-01
2.069447289121370032e-06,7.356738487300377969e-06,-4.733215801505386899e+00,9.999999999944845230e-01
2.085336331145189007e-06,7.413222905916243157e-06,-4.733215801505251008e+00,9.999999999943848250e-01
2.101347367895697621e-06,7.470141007141845038e-06,-4.733215801505111564e+00,9.999999999942833506e-01
2.117481336038134808e-06,7.527496120755743799e-06,-4.733215801504970344e+00,9.999999999941804329e-01
2.133739179429376175e-06,7.585291602102257057e-06,-4.733215801504827347e+00,9.999999999940754059e-01
2.150121849173144886e-06,7.643530832287732639e-06,-4.733215801504681686e+00,9.999999999939690465e-01
2.166630303675674853e-06,7.702217218378428187e-06,-4.733215801504534248e+00,9.999999999938613549e-01
2.183265508701747473e-06,7.761354193599709586e-06,-4.733215801504384146e+00,9.999999999937512207e-01
2.200028437431208203e-06,7.820945217536979889e-06,-4.733215801504230491e+00,9.999999999936398654e-01
2.216920070515892263e-06,7.880993776338029557e-06,-4.733215801504075948e+00,9.999999999935268447e-01
2.233941396137011112e-06,7.941503382917047731e-06,-4.733215801503918740e+00,9.999999999934117145e-01
2.251093410062932382e-06,8.002477577160029419e-06,-4.733215801503758868e+00,9.999999999932942529e-01
2.268377115707457009e-06,8.063919926131946198e-06,-4.733215801503596332e+00,9.999999999931761252e-01
2.285793524188510154e-06,8.125834024285377209e-06,-4.733215801503431130e+00,9.999999999930556660e-01
2.303343654387296283e-06,8.188223493670812190e-06,-4.733215801503264153e+00,9.999999999929326533e-01
2.321028533007899374e-06,8.251091984148529993e-06,-4.733215801503094511e+00,9.999999999928085304e-01
2.338849194637365079e-06,8.314443173602169466e-06,-4.733215801502921316e+00,9.999999999926819649e-01
2.356806681806195818e-06,8.378280768153802984e-06,-4.733215801502745457e+00,9.999999999925534011e-01
2.374902045049357057e-06,8.442608502380800594e-06,-4.733215801502566933e+00,9.999999999924236160e-01
2.393136342967747337e-06,8.507430139534349274e-06,-4.733215801502385744e+00,9.999999999922911664e-01
2.411510642290098169e-06,8.572749471759508701e-06,-4.733215801502201892e+00,9.999999999921568294e-01
2.430026017935400361e-06,8.638570320317130497e-06,-4.733215801502015374e+00,9.999999999920200500e-01
2.448683553075782243e-06,8.704896535807386834e-06,-4.733215801501825304e+00,9.999999999918817162e-01
2.467484339199876198e-06,8.771731998395028684e-06,-4.733215801501632569e+00,9.999999999917409399e-01
2.486429476176667160e-06,8.839080618036366930e-06,-4.733215801501437170e+00,9.999999999915976101e-01
2.505520072319856530e-06,8.906946334708084766e-06,-4.733215801501238218e+00,9.999999999914521709e-01
2.524757244452670361e-06,8.975333118637622185e-06,-4.733215801501036601e+00,9.999999999913047333e-01
2.544142117973209218e-06,9.044244970535488323e-06,-4.733215801500831432e+00,9.999999999911552973e-01
2.563675826920301182e-06,9.113685921829362726e-06,-4.733215801500622710e+00,9.999999999910026416e-01
2.583359514039813093e-06,9.183660034899838171e-06,-4.733215801500411324e+00,9.999999999908477655e-01
2.603194330851522953e-06,9.254171403318138775e-06,-4.733215801500196385e+00,9.999999999906908910e-01
2.623181437716481492e-06,9.325224152085584672e-06,-4.733215801499978781e+00,9.999999999905316850e-01
2.643322003904894663e-06,9.396822437874906622e-06,-4.733215801499756736e+00,9.999999999903694814e-01
2.663617207664518580e-06,9.468970449273400372e-06,-4.733215801499532027e+00,9.999999999902051684e-01
2.684068236289614785e-06,9.541672407028041044e-06,-4.733215801499302877e+00,9.999999999900381908e-01
2.704676286190374331e-06,9.614932564292288215e-06,-4.733215801499071063e+00,9.999999999898688818e-01
2.725442562962922944e-06,9.688755206874945884e-06,-4.733215801498835695e+00,9.999999999896959091e-01
2.746368281459870392e-06,9.763144653490968934e-06,-4.733215801498595887e+00,9.999999999895208269e-01
2.767454665861343519e-06,9.838105256013973812e-06,-4.733215801498352526e+00,9.999999999893434133e-01
2.788702949746629137e-06,9.913641399730919318e-06,-4.733215801498106501e+00,9.999999999891633351e-01
2.810114376166330642e-06,9.989757503598623755e-06,-4.733215801497855146e+00,9.999999999889795932e-01
2.831690197715090036e-06,1.006645802050229294e-05,-4.733215801497600239e+00,9.999999999887935198e-01
2.853431676604857962e-06,1.014374743751598112e-05,-4.733215801497341779e+00,9.999999999886046709e-01
2.875340084738761759e-06,1.022163027616518310e-05,-4.733215801497078878e+00,9.999999999884124913e-01
2.897416703785475375e-06,1.030011109269122872e-05,-4.733215801496812425e+00,9.999999999882176471e-01
2.919662825254222867e-06,1.037919447831790011e-05,-4.733215801496541530e+00,9.999999999880196944e-01
2.942079750570320609e-06,1.045888505951998680e-05,-4.733215801496266195e+00,9.999999999878186330e-01
2.964668791151338681e-06,1.053918749829403309e-05,-4.733215801495986419e+00,9.999999999876142409e-01
2.987431268483780649e-06,1.062010649243092676e-05,-4.733215801495703090e+00,9.999999999874068513e-01
3.010368514200420210e-06,1.070164677579083073e-05,-4.733215801495415320e+00,9.999999999871965750e-01
3.033481870158194345e-06,1.078381311858007816e-05,-4.733215801495122221e+00,9.999999999869826350e-01
3.056772688516698705e-06,1.086661032763022570e-05,-4.733215801494824682e+00,9.999999999867651423e-01
3.080242331817314470e-06,1.095004324667934641e-05,-4.733215801494523589e+00,9.999999999865446521e-01
3.103892173062883227e-06,1.103411675665525892e-05,-4.733215801494217168e+00,9.999999999863206090e-01
3.127723595798051860e-06,1.111883577596115711e-05,-4.733215801493905417e+00,9.999999999860934574e-01
3.151737994190200620e-06,1.120420526076329129e-05,-4.733215801493589225e+00,9.999999999858624200e-01
3.175936773111029333e-06,1.129023020528101939e-05,-4.733215801493268593e+00,9.999999999856280519e-01
3.200321348218704356e-06,1.137691564207881310e-05,-4.733215801492942632e+00,9.999999999853894650e-01
3.224893146040703054e-06,1.146426664236078647e-05,-4.733215801492611341e+00,9.999999999851473254e-01
3.249653604057260098e-06,1.155228831626732179e-05,-4.733215801492275610e+00,9.999999999849019661e-01
3.274604170785456663e-06,1.164098581317400609e-05,-4.733215801491934549e+00,9.999999999846518328e-01
3.299746305863985128e-06,1.173036432199297844e-05,-4.733215801491587271e+00,9.999999999843987020e-01
3.325081480138501204e-06,1.182042907147632691e-05,-4.733215801491234664e+00,9.999999999841416853e-01
3.350611175747697302e-06,1.191118533052208604e-05,-4.733215801490877617e+00,9.999999999838800058e-01
3.376336886209993388e-06,1.200263840848242133e-05,-4.733215801490514352e+00,9.999999999836147735e-01
3.402260116510939350e-06,1.209479365547432932e-05,-4.733215801490145758e+00,9.999999999833456554e-01
3.428382383191217490e-06,1.218765646269247912e-05,-4.733215801489771835e+00,9.999999999830716524e-01
3.454705214435387428e-06,1.228123226272471014e-05,-4.733215801489390806e+00,9.999999999827937636e-01
3.481230150161282816e-06,1.237552652986980662e-05,-4.733215801489005337e+00,9.999999999825115449e-01
3.507958742110087353e-06,1.247054478045773543e-05,-4.733215801488612762e+00,9.999999999822252184e-01
3.534892553937146043e-06,1.256629257317245540e-05,-4.733215801488214858e+00,9.999999999819341179e-01
3.562033161303395620e-06,1.266277550937695265e-05,-4.733215801487810737e+00,9.999999999816382434e-01
3.589382151967573403e-06,1.275999923344104739e-05,-4.733215801487400398e+00,9.999999999813383722e-01
3.616941125879084719e-06,1.285796943307150816e-05,-4.733215801486982954e+00,9.999999999810339490e-01
3.644711695271636463e-06,1.295669183964493058e-05,-4.733215801486559293e+00,9.999999999807243078e-01
3.672695484757506787e-06,1.305617222854285588e-05,-4.733215801486129415e+00,9.999999999804100037e-01
3.700894131422616923e-06,1.315641641948974206e-05,-4.733215801485692431e+00,9.999999999800909256e-01
3.729309284922296725e-06,1.325743027689339999e-05,-4.733215801485249230e+00,9.999999999797669625e-01
3.757942607577783328e-06,1.335921971018804688e-05,-4.733215801484798924e+00,9.999999999794375594e-01
3.786795774473498641e-06,1.346179067418011929e-05,-4.733215801484342400e+00,9.999999999791036043e-01
3.815870473554999814e-06,1.356514916939647315e-05,-4.733215801483876994e+00,9.999999999787643201e-01
3.845168405727753448e-06,1.366930124243552803e-05,-4.733215801483406260e+00,9.999999999784194848e-01
3.874691284956628504e-06,1.377425298632095424e-05,-4.733215801482927532e+00,9.999999999780697646e-01
3.904440838366197288e-06,1.388001054085822966e-05,-4.733215801482441698e+00,9.999999999777141602e-01
3.934418806341721684e-06,1.398658009299365292e-05,-4.733215801481946983e+00,9.999999999773534487e-01
3.964626942631006323e-06,1.409396787717640596e-05,-4.733215801481446050e+00,9.999999999769871861e-01
3.995067014446981900e-06,1.420218017572324409e-05,-4.733215801480937124e+00,9.999999999766149283e-01
4.025740802571083847e-06,1.431122331918599814e-05,-4.733215801480420204e+00,9.999999999762374525e-01
4.056650101457461949e-06,1.442110368672202265e-05,-4.733215801479895291e+00,9.999999999758534264e-01
4.087796719337907402e-06,1.453182770646721899e-05,-4.733215801479362383e+00,9.999999999754638491e-01
4.119182478327674331e-06,1.464340185591221289e-05,-4.733215801478820595e+00,9.999999999750683877e-01
4.150809214532055167e-06,1.475583266228122037e-05,-4.733215801478270812e+00,9.999999999746665980e-01
4.182678778153826779e-06,1.486912670291401902e-05,-4.733215801477712148e+00,9.999999999742584800e-01
4.214793033601443686e-06,1.498329060565056862e-05,-4.733215801477145490e+00,9.999999999738440337e-01
4.247153859598141831e-06,1.509833104921885575e-05,-4.733215801476569951e+00,9.999999999734235923e-01
4.279763149291832633e-06,1.521425476362556737e-05,-4.733215801475985529e+00,9.999999999729964895e-01
4.312622810365850004e-06,1.533106853054979176e-05,-4.733215801475391338e+00,9.999999999725623923e-01
4.345734765150588446e-06,1.544877918373987035e-05,-4.733215801474789153e+00,9.999999999721215227e-01
4.379100950735902631e-06,1.556739360941300249e-05,-4.733215801474177198e+00,9.999999999716749910e-01
4.412723319084473437e-06,1.568691874665819428e-05,-4.733215801473555473e+00,9.999999999712204657e-01
4.446603837145975291e-06,1.580736158784218384e-05,-4.733215801472923978e+00,9.999999999707590570e-01
4.480744486972183707e-06,1.592872917901859547e-05,-4.733215801472283601e+00,9.999999999702907649e-01
4.515147265832873958e-06,1.605102862033996365e-05,-4.733215801471632567e+00,9.999999999698153674e-01
4.549814186332700612e-06,1.617426706647323651e-05,-4.733215801470971762e+00,9.999999999693324204e-01
4.584747276528925794e-06,1.629845172701827792e-05,-4.733215801470301187e+00,9.999999999688414798e-01
4.619948580050054622e-06,1.642358986692963227e-05,-4.733215801469619066e+00,9.999999999683433227e-01
