Xi,fb_core,eta,f_r,f_rho,eps,nodes,method,valid
0.0507366252,0.2401389706,0.1217246566,0.7391138451,1.5470029268,-0.5374200992,0,direct,1
0.5747438016,0.6209882416,0.1731175784,0.3178720721,9.5661506169,-0.8233980244,0,continuation,1
0.9745229959,0.2228223581,0.2441344246,0.2566495778,12.3200489032,-0.8165170283,0,continuation,1
0.7084596042,0.5362802547,3.7573000571,0.3430889335,8.1383601287,-6.5551824912,0,continuation,1
0.9012887901,0.4832591870,1.4855336343,0.2817174603,11.1995602089,-1.7117588544,0,continuation,1
0.6321765118,0.1175261360,0.1162326339,0.3681785235,4.6865848919,-0.5049958765,0,direct,1
0.9339941963,0.3032200812,2.2885073419,0.2763030249,10.7715048919,-1.9979282670,0,continuation,1
0.0507487509,0.2827329951,0.3498972722,0.7814533003,1.5424177023,-0.5901150824,0,direct,1
0.7171580769,0.4561590148,0.1286005684,0.2846657872,10.9421681432,-0.7973839267,0,continuation,1
0.7731867104,0.7390782635,0.6193271383,0.3037248976,11.0135419597,-1.2470665073,0,continuation,1
0.5004076514,0.0192784409,0.9789355824,0.4797015843,2.6908804635,-0.4720086235,0,direct,1
0.5977118710,0.3704963927,1.5366750011,0.3954523084,5.4392323490,-1.2613871969,0,continuation,1
0.1292243089,0.3719091928,1.3466408579,0.7287438695,2.0381082339,-1.0223535839,0,direct,1
0.4267285093,0.6869310578,1.6091567562,0.4658761980,5.0167775849,-2.0380274406,0,continuation,1
0.0570257164,0.1403766914,0.2237820269,0.8320981970,1.3116983851,-0.5742476891,0,direct,1
0.8076594737,0.0347489235,1.2521763463,0.3215914481,6.0579352270,-0.5764894826,0,direct,1
0.0463149777,0.5444394455,0.1521736489,0.5826810786,2.5496354697,-0.5434223701,0,direct,1
0.1673494343,0.3062996412,1.0707765032,0.7070276686,1.9747507179,-0.7828150311,0,direct,1
0.3094854250,0.2038555690,0.1312292061,0.5310133665,2.4908677806,-0.4847679371,0,direct,1
0.4206201223,0.0452728403,1.3487789497,0.5361723574,2.3461275894,-0.5238880033,0,direct,1
0.0384680914,0.3238039902,4.4931644205,0.8188762135,1.8880794980,-5.4415297248,0,continuation,1
0.6821795428,0.5320956508,0.3371044519,0.3237536245,8.8311692934,-0.8537200745,0,continuation,1
0.3154429125,0.4494290209,0.2044669940,0.4663142400,3.7826744260,-0.5676589027,0,direct,1
0.8216535162,0.4744940690,4.0423308527,0.3058412442,9.7650437552,-6.7490861172,0,continuation,1
0.3449856906,0.1835783027,0.3598197102,0.5511791728,2.4370957880,-0.5137787217,0,direct,1
0.6593804113,0.7117242188,4.6261760914,0.3570517334,8.2621998230,-12.5264241178,0,continuation,1
0.0809191960,0.7565348178,0.1690082494,0.4946505983,3.9138587112,-0.6226474060,0,direct,1
0.9402752767,0.3807118989,0.1258129653,0.2414927618,15.8534982633,-0.9470896012,0,continuation,1
0.2295096201,0.1339794404,0.1246344185,0.6355301218,1.8348319574,-0.4978604848,0,direct,1
0.8872283439,0.5565949926,2.4788829688,0.2851175195,11.4672988886,-3.5462527419,0,continuation,1
0.1617215914,0.6067520614,0.4667517885,0.5984057954,2.8478675715,-0.7079692630,0,direct,1
0.8195244713,0.1554071950,0.3827879804,0.3077790030,7.4559122312,-0.6397318743,0,direct,1
0.2156221955,0.1049281427,0.5388242094,0.7056456479,1.6362370144,-0.5420253842,0,direct,1
0.4103985743,0.6947250512,1.1969000518,0.4710344465,4.8195718447,-1.4528998090,0,continuation,1
0.6566712611,0.0576002100,3.2566021658,0.3842592903,4.4003156440,-0.9394052668,0,continuation,1
0.9092363911,0.7664062602,0.2043570625,0.2379561524,20.9651956236,-1.3487779099,0,continuation,1
0.2571291389,0.2419636784,0.2295165224,0.5816579779,2.2741482252,-0.5123909998,0,direct,1
0.8415491608,0.3539873052,0.4610192404,0.2929228718,9.7040835577,-0.8426905159,0,continuation,1
0.2233320335,0.3324546419,1.4685932731,0.6524747229,2.3590003092,-1.0352076226,0,continuation,1
0.4432442956,0.2512350670,0.9634615443,0.4901175402,3.2782984832,-0.6853332055,0,direct,1
0.6489313047,0.6782758358,2.0026001858,0.3612996915,7.7394688653,-2.8919657918,0,continuation,1
0.3494771241,0.2819954357,0.1745623426,0.4853410996,3.1056188735,-0.5080592803,0,direct,1
0.7464684663,0.2148917805,0.1971707937,0.3167771123,7.2722447464,-0.6248761584,0,direct,1
0.8813792001,0.7091088939,0.5083449986,0.2719140928,13.9556970138,-1.2718947420,0,continuation,1
0.0138968694,0.1904300039,0.2795434155,0.8574513105,1.2939016228,-0.5951213647,0,direct,1
0.8807932237,0.6780247112,0.1337992238,0.2329646231,20.8675431457,-1.2249364328,0,continuation,1
0.1217509025,0.0831409138,0.1275403038,0.7857127258,1.3674753790,-0.5464647357,0,direct,1
0.4060911535,0.4356452439,1.6121951685,0.4987383373,3.8799117985,-1.4049951521,0,direct,1
0.0689798529,0.5613604122,0.2664850205,0.6217498329,2.4641459655,-0.5987848604,0,direct,1
0.3159094719,0.2760835055,2.1307086694,0.5837912491,2.7792025112,-1.4122315090,0,continuation,1
0.1458837062,0.0596433142,0.9089145472,0.8038454091,1.3613753338,-0.5825735898,0,direct,1
0.1717093217,0.0750406227,0.4686560617,0.7620272374,1.4486309886,-0.5496048770,0,direct,1
0.2720920393,0.4517720781,1.2625313061,0.5905591903,2.9254651316,-1.0809188566,0,continuation,1
0.2305055049,0.3883850875,0.1302861923,0.5062851602,2.9729351175,-0.5113389588,0,direct,1
0.8326654624,0.3622455751,3.7323773126,0.3046166012,9.2535590963,-4.6005424660,0,continuation,1
0.7758330122,0.7714187239,0.4135631933,0.2907749667,12.6929200489,-1.1971475092,0,continuation,1
0.3559313648,0.3559531947,0.6143066248,0.5255626685,3.0761078218,-0.6448238642,0,direct,1
0.5753239644,0.6371228050,0.2702087848,0.3401498531,8.4792992346,-0.8491279664,0,continuation,1
0.3799554772,0.1527539900,0.5409207999,0.5424635056,2.4768143462,-0.5238482523,0,direct,1
0.4368865955,0.6056922677,0.6869735153,0.4487029198,4.8197887018,-0.9002990051,0,continuation,1
0.9180938477,0.4734211299,4.3159959979,0.2781670249,11.7676674494,-7.6586689360,0,continuation,1
0.5638139326,0.5949387405,0.2549241777,0.3451843974,7.9757363178,-0.8014729872,0,continuation,1
0.6267403954,0.1474812477,1.1089344689,0.3932791821,4.4470568629,-0.6491972512,0,direct,1
0.8825759437,0.5164329212,0.7262576572,0.2820523121,11.4113844438,-1.1449968243,0,continuation,1
0.5956808460,0.1255443922,2.8326812351,0.4111329949,4.2447555013,-1.2396531252,0,continuation,1
0.6544281275,0.4708154198,0.5067764632,0.3505405020,7.0930262942,-0.8210639375,0,direct,1
0.9770029289,0.0923681132,1.9496952767,0.2683825662,9.9195513017,-0.9456384235,0,continuation,1
0.0028685328,0.6120489318,0.9932662733,0.7782426494,2.0193466359,-1.0497573169,0,continuation,1
