Xi,fb_core,eta,f_r,f_rho,eps,converged,nodes,method,valid
0.05,0.1,1.5,0.8965502636876738,1.253405256704599,-0.7307761210973513,1,0,direct,1
0.05,0.1,2.0,0.8945869195668769,1.282751207325987,-0.847130472310774,1,0,direct,1
0.05,0.1,5.0,0.8875772380720687,1.3686766254407716,-2.4148235806052045,1,0,direct,1
0.05,0.15,0.1,0.8041339962481617,1.344466465174124,-0.555464404499644,1,0,direct,1
0.05,0.15,0.3,0.8452363871532161,1.3011352290187956,-0.5861210286203894,1,0,direct,1
0.05,0.15,0.5,0.8636155985828204,1.2861129142729257,-0.6101028500007388,1,0,direct,1
0.05,0.15,1.0,0.8767262255657727,1.3040202536321637,-0.6808203180433517,1,0,direct,1
0.05,0.15,1.5,0.8766521225546379,1.3467929772226839,-0.7983246149227593,1,0,direct,1
0.05,0.15,2.0,0.8742937330414305,1.3886666297263994,-0.9764819501911183,1,0,direct,1
0.05,0.15,5.0,0.8659759851276179,1.503331409693795,-3.3420000815260695,1,0,direct,1
0.05,0.2,0.1,0.7619946336394188,1.4575193419795949,-0.5412216249648372,1,0,direct,1
0.05,0.2,0.3,0.8161909566562933,1.390397764807954,-0.5816221848639581,1,0,direct,1
0.05,0.2,0.5,0.8402886165657574,1.3667186901492012,-0.6137375651245676,1,0,direct,1
0.05,0.2,1.0,0.8577406807009433,1.3878550273990675,-0.7101398135451574,1,0,direct,1
0.05,0.2,1.5,0.858180014123106,1.4429483770961988,-0.8704821114967121,1,0,direct,1
0.05,0.2,2.0,0.855687410059081,1.4957960345236379,-1.1121143521891115,1,0,direct,1
0.05,0.2,5.0,0.8468361043353443,1.6330462501491891,-4.279905124149385,1,0,direct,1
0.05,0.3,0.1,0.6849190799047064,1.730126746642204,-0.5200959010028141,1,0,direct,1
0.05,0.3,0.3,0.7627371244291795,1.5941438544973658,-0.5788267475595174,1,0,direct,1
0.05,0.3,0.5,0.797283289132958,1.5454189642951357,-0.6271741731014162,1,0,direct,1
